time,sym,price,size
09:30:00.0,MSFT,73.53,5
09:30:00.0,MSFT,73.53,5
09:30:00.1,SPY,246.81,3
09:30:00.1,SPY,246.81,2
09:30:00.1,MSFT,73.53,6
09:30:00.1,C,65.92,91
09:30:00.1,SPY,246.79,500
09:30:00.1,SPY,246.79,400
09:30:00.1,SPY,246.79,100
09:30:00.1,SPY,246.81,119762
09:30:00.1,SPY,246.81,119762
09:30:00.2,SPY,246.8,200
09:30:00.2,MSFT,73.53,200
09:30:00.2,MSFT,73.53,89
09:30:00.2,SPY,246.8,100
09:30:00.2,MSFT,73.54,10
09:30:00.3,SPY,246.8,100
09:30:00.3,MSFT,73.54,500
09:30:00.3,MSFT,73.54,32
09:30:00.3,SPY,246.8,74
09:30:00.3,MSFT,73.51,4
09:30:00.3,MSFT,73.55,100
09:30:00.4,MSFT,73.53,9
09:30:00.4,MSFT,73.53,40
09:30:00.4,SPY,246.8,103
09:30:00.5,MSFT,73.58,1698
09:30:00.6,SPY,246.86,100
09:30:00.7,SPY,246.805,300
09:30:00.7,SPY,246.805,10
09:30:00.7,SPY,246.8,15
09:30:00.7,SPY,246.8,150
09:30:00.7,SPY,246.82,10
09:30:00.7,SPY,246.82,90
09:30:00.7,SPY,246.81,100
09:30:00.7,SPY,246.82,10
09:30:00.7,SPY,246.82,90
09:30:00.7,SPY,246.82,72
09:30:00.7,SPY,246.82,28
09:30:00.7,SPY,246.82,1160
09:30:00.7,SPY,246.8,118
09:30:00.7,SPY,246.8,200
09:30:00.7,SPY,246.8,300
09:30:00.7,SPY,246.82,45
09:30:00.7,SPY,246.82,200
09:30:00.7,SPY,246.82,100
09:30:00.7,SPY,246.82,22
09:30:00.7,SPY,246.82,100
09:30:00.8,SPY,246.83,1
09:30:00.8,SPY,246.83,1
09:30:00.8,SPY,246.83,43
09:30:00.8,SPY,246.82,8
09:30:00.9,SPY,246.83,45
09:30:00.9,MSFT,73.5,359412
09:30:00.9,MSFT,73.5,359412
09:30:00.9,MSFT,73.495,100
09:30:00.9,MSFT,73.495,200
09:30:00.9,MSFT,73.495,200
09:30:00.9,MSFT,73.51,8
09:30:00.9,MSFT,73.51,200
09:30:00.9,MSFT,73.52,20
09:30:00.9,MSFT,73.495,200
09:30:00.9,MSFT,73.5,200
09:30:00.9,MSFT,73.52,200
09:30:01.0,MSFT,73.5,90
09:30:01.0,MSFT,73.49,58
09:30:01.0,MSFT,73.49,15
09:30:01.0,MSFT,73.49,400
09:30:01.0,MSFT,73.5,100
09:30:01.0,MSFT,73.49,1137
09:30:01.0,MSFT,73.5,1
09:30:01.0,MSFT,73.505,100
09:30:01.0,MSFT,73.505,100
09:30:01.0,SPY,246.83,100
09:30:01.0,SPY,246.83,455
09:30:01.0,SPY,246.83,10
09:30:01.0,SPY,246.83,100
09:30:01.0,SPY,246.83,100
09:30:01.1,SPY,246.83,100
09:30:01.1,SPY,246.83,40
09:30:01.1,MSFT,73.52,100
09:30:01.1,MSFT,73.52,100
09:30:01.2,MSFT,73.52,100
09:30:01.2,SPY,246.81,500
09:30:01.2,SPY,246.81,500
09:30:01.3,SPY,246.86,100
09:30:01.4,MSFT,73.495,200
09:30:01.4,MSFT,73.52,100
09:30:01.4,MSFT,73.4801,97
09:30:01.4,MSFT,73.483,100
09:30:01.4,MSFT,73.48,90
09:30:01.4,MSFT,73.48,10
09:30:01.5,MSFT,73.53,17
09:30:01.5,MSFT,73.53,200
09:30:01.5,MSFT,73.53,20
09:30:01.5,MSFT,73.53,80
09:30:01.5,MSFT,73.53,45
09:30:01.5,MSFT,73.54,55
09:30:01.5,MSFT,73.53,83
09:30:01.5,MSFT,73.53,17
09:30:01.5,MSFT,73.525,100
09:30:01.5,MSFT,73.51,200
09:30:01.5,MSFT,73.52,200
09:30:01.5,MSFT,73.53,100
09:30:01.5,MSFT,73.53,100
09:30:01.5,MSFT,73.505,200
09:30:01.5,MSFT,73.51,10
09:30:01.5,MSFT,73.51,4
09:30:01.5,MSFT,73.515,100
09:30:01.5,SPY,246.83,100
09:30:01.5,MSFT,73.48,17
09:30:01.5,MSFT,73.515,100
09:30:01.5,MSFT,73.52,100
09:30:01.5,MSFT,73.505,300
09:30:01.5,MSFT,73.505,100
09:30:01.5,MSFT,73.505,100
09:30:01.5,MSFT,73.48,20
09:30:01.5,MSFT,73.48,20
09:30:01.5,MSFT,73.5,7365
09:30:01.5,MSFT,73.505,100
09:30:01.5,SPY,246.83,121
09:30:01.5,SPY,246.81,11
09:30:01.5,SPY,246.81,50
09:30:01.5,SPY,246.81,1
09:30:01.5,SPY,246.81,15
09:30:01.5,SPY,246.81,5
09:30:01.5,SPY,246.81,331
09:30:01.6,SPY,246.82,20
09:30:01.6,MSFT,73.5075,100
09:30:01.7,MSFT,73.51,100
09:30:01.7,MSFT,73.52,400
09:30:01.8,SPY,246.81,500
09:30:01.8,SPY,246.81,400
09:30:01.8,MSFT,73.52,100
09:30:01.8,MSFT,73.51,200
09:30:01.8,MSFT,73.51,200
09:30:01.8,SPY,246.81,1
09:30:01.8,MSFT,73.5,15
09:30:01.8,MSFT,73.4928,200
09:30:01.8,SPY,246.81,1800
09:30:01.8,SPY,246.81,200
09:30:01.8,SPY,246.81,200
09:30:01.8,SPY,246.81,5
09:30:01.8,SPY,246.81,100
09:30:01.8,SPY,246.81,100
09:30:01.8,SPY,246.81,100
09:30:01.8,SPY,246.8111,1000
09:30:01.8,SPY,246.8111,487
09:30:01.8,SPY,246.8211,100
09:30:01.8,SPY,246.8,100
09:30:01.8,SPY,246.8,11
09:30:01.8,MSFT,73.52,25
09:30:01.9,MSFT,73.505,100
09:30:02.0,SPY,246.8,100
09:30:02.0,SPY,246.8,100
09:30:02.0,MSFT,73.48,100
09:30:02.1,MSFT,73.48,600
09:30:02.1,MSFT,73.525,100
09:30:02.1,MSFT,73.525,300
09:30:02.1,SPY,246.81,5
09:30:02.1,SPY,246.81,100
09:30:02.1,SPY,246.81,100
09:30:02.1,SPY,246.81,200
09:30:02.1,SPY,246.81,100
09:30:02.1,MSFT,73.5,100
09:30:02.1,MSFT,73.5,100
09:30:02.1,SPY,246.81,100
09:30:02.1,SPY,246.81,100
09:30:02.1,MSFT,73.58,100
09:30:02.2,SPY,246.81,100
09:30:02.2,SPY,246.81,100
09:30:02.2,SPY,246.81,100
09:30:02.2,SPY,246.81,3
09:30:02.2,SPY,246.81,34
09:30:02.2,SPY,246.81,100
09:30:02.2,SPY,246.81,500
09:30:02.3,MSFT,73.48,25
09:30:02.3,SPY,246.81,42
09:30:02.3,SPY,246.81,5
09:30:02.4,MSFT,73.51,100
09:30:02.4,MSFT,73.51,9
09:30:02.4,MSFT,73.51,91
09:30:02.4,MSFT,73.51,9
09:30:02.4,MSFT,73.48,110
09:30:02.4,SPY,246.81,100
09:30:02.5,MSFT,73.48,70
09:30:02.5,MSFT,73.48,200
09:30:02.5,MSFT,73.48,100
